House,Feature1,Feature2,Theta1,Theta2,Theta3,Mean1,Mean2,Std1,Std2,Accuracy
Ravenclaw,Ancient Runes,Defense Against the Dark Arts,-4.496391862771622,3.8910459755678355,4.293398030850695,495.71610627833485,-0.3805287375941475,106.45710228729139,5.2170069974838515,0.9856584093872229
Ravenclaw,Ancient Runes,Herbology,-4.069023345820278,4.300491500325956,4.456891191676233,495.5521432913413,1.1540411306832623,106.08080673481057,5.223164336573272,0.9765013054830287
Ravenclaw,Defense Against the Dark Arts,Herbology,-4.531135777804394,4.811647280043515,4.4083524679906185,-0.3894710376381192,1.1275821807852662,5.21447837195496,5.215881326832132,0.9837345478204295
Ravenclaw,Defense Against the Dark Arts,Divination,-3.4315930758392796,5.031823822923843,3.97516254950325,-0.3909993477276773,3.152219973890335,5.210376739995946,4.154813588305701,0.9889033942558747
Slytherin,Ancient Runes,Defense Against the Dark Arts,-5.900518273810152,-5.124021009221655,5.4542274812920155,495.71610627833485,-0.3805287375941475,106.45710228729139,5.2170069974838515,0.9830508474576272
Slytherin,Ancient Runes,Herbology,-5.110197440632576,-3.9983930943305914,-3.8326220195192424,495.5521432913413,1.1540411306832623,106.08080673481057,5.223164336573272,0.97911227154047
Slytherin,Ancient Runes,Divination,-3.723624299894397,-0.1399316768054107,-4.137044036865583,496.01076986629715,3.1596186107470476,106.34220685559934,4.145009126559367,0.9927916120576671
Slytherin,Defense Against the Dark Arts,Herbology,-6.566686847127437,4.865071760597494,-4.335984538145065,-0.3894710376381192,1.1275821807852662,5.21447837195496,5.215881326832132,0.9908913467794405
Slytherin,Defense Against the Dark Arts,Divination,-4.023988474246878,0.7799150078455288,-3.9438947021555406,-0.3909993477276773,3.152219973890335,5.210376739995946,4.154813588305701,0.9934725848563969
Slytherin,Herbology,Divination,-3.752279351014671,0.19383313144249936,-4.3861992079302,1.150849762452143,3.1527913669064715,5.218748717261042,4.154508708600864,0.9928057553956835
Gryffindor,Ancient Runes,Defense Against the Dark Arts,-5.671884005197024,5.527287272869972,-5.412341823592139,495.71610627833485,-0.3805287375941475,106.45710228729139,5.2170069974838515,0.983702737940026
Gryffindor,Ancient Runes,Herbology,-6.025743756978143,4.330568965006851,-4.244993081865089,495.5521432913413,1.1540411306832623,106.08080673481057,5.223164336573272,0.987597911227154
Gryffindor,Defense Against the Dark Arts,Herbology,-5.646727373715366,-4.395908069060758,-4.31814882968345,-0.3894710376381192,1.1275821807852662,5.21447837195496,5.215881326832132,0.9882888744307091
Gryffindor,Herbology,Divination,-4.650159124122028,-5.586432785267339,4.243902855214983,1.150849762452143,3.1527913669064715,5.218748717261042,4.154508708600864,0.9882275997383911
Hufflepuff,Ancient Runes,Defense Against the Dark Arts,-3.9114807995790364,-5.085411868732166,-4.561030429611394,495.71610627833485,-0.3805287375941475,106.45710228729139,5.2170069974838515,0.9771838331160365
Hufflepuff,Ancient Runes,Divination,-2.166263781015484,-5.428250907863523,4.270288794524897,496.01076986629715,3.1596186107470476,106.34220685559934,4.145009126559367,0.981651376146789
Hufflepuff,Defense Against the Dark Arts,Herbology,-3.844685615596227,-4.93242568644253,4.729783205702428,-0.3894710376381192,1.1275821807852662,5.21447837195496,5.215881326832132,0.9759271307742355
